execution,filename,ngramSize,cloneSize,QRPercentileNorm,QRPercentileT2,QRPercentileT1,QRPercentileOrig,normBoost,T2Boost,T1Boost,origBoost,simThreshold,time,"WA(MRR,MOP) - (0.5,0.5)","WA(MRR,MOP) - (0.7,0.3)","WA(MRR,MOP) - (0.3,0.7)",MRR,MOP
389,"nS_17_cS_7_qrN_12_qrT2_8_qrT1_4_qrO_2_boN_12_boT2_14_boT1_4_boOr_14_simT_40%,50%,60%,70%_f248248b-318a-4f18-8488-66cbd905fc1f.csv",17,7,12,8,4,2,12,14,4,14,"40%,50%,60%,70%",0:03:26.052758,0.6457711745532164,0.7466949148958171,0.5448474342106158,0.8980805254097181,0.3934618236967149
459,"nS_17_cS_7_qrN_2_qrT2_20_qrT1_12_qrO_2_boN_12_boT2_14_boT1_4_boOr_14_simT_40%,50%,60%,70%_70ee253e-7564-4e78-bce7-22f0b8cf7bab.csv",17,7,2,20,12,2,12,14,4,14,"40%,50%,60%,70%",0:04:37.161790,0.6457711745532164,0.7466949148958171,0.5448474342106158,0.8980805254097181,0.3934618236967149
345,"nS_17_cS_13_qrN_12_qrT2_20_qrT1_4_qrO_2_boN_10_boT2_4_boT1_4_boOr_14_simT_60%,70%,80%,90%_1dddd302-53ec-4709-86b9-5bc0abc14560.csv",17,13,12,20,4,2,10,4,4,14,"60%,70%,80%,90%",0:04:03.664535,0.6643647721578223,0.6309511273039761,0.6977784170116685,0.5808306600232066,0.747898884292438
383,"nS_17_cS_13_qrN_12_qrT2_20_qrT1_4_qrO_2_boN_10_boT2_4_boT1_4_boOr_20_simT_60%,70%,80%,90%_c255441f-dc3b-40ce-9752-7df386400ddb.csv",17,13,12,20,4,2,10,4,4,20,"60%,70%,80%,90%",0:04:03.553886,0.6643647721578223,0.6309511273039761,0.6977784170116685,0.5808306600232066,0.747898884292438
300,"nS_17_cS_7_qrN_12_qrT2_20_qrT1_12_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_e3b46082-77e6-42a2-8b05-76847b9ef3dc.csv",17,7,12,20,12,12,10,4,4,14,"10%,30%,40%,50%",0:03:49.264847,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
316,"nS_17_cS_7_qrN_2_qrT2_8_qrT1_4_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_f2a6947e-40d9-42fb-9588-ba28aad06ad5.csv",17,7,2,8,4,12,10,4,4,14,"10%,30%,40%,50%",0:03:50.412029,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
340,"nS_17_cS_7_qrN_12_qrT2_20_qrT1_4_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_3fc4ba99-439b-40fe-a61b-b483d314f629.csv",17,7,12,20,4,12,10,4,4,14,"10%,30%,40%,50%",0:06:51.742579,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
372,"nS_17_cS_7_qrN_12_qrT2_8_qrT1_12_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_65875e0f-a693-4a71-b3ed-9cf8e19c3af6.csv",17,7,12,8,12,12,10,4,4,14,"10%,30%,40%,50%",0:06:40.436371,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
379,"nS_17_cS_7_qrN_2_qrT2_8_qrT1_12_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_99889787-1cbe-40d9-a84f-5770dba9a9f2.csv",17,7,2,8,12,12,10,4,4,14,"10%,30%,40%,50%",0:11:42.444654,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
388,"nS_17_cS_7_qrN_2_qrT2_20_qrT1_12_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_1b38c29d-11d0-405b-b5fa-8cf1430cdace.csv",17,7,2,20,12,12,10,4,4,14,"10%,30%,40%,50%",0:04:12.919979,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
392,"nS_17_cS_7_qrN_12_qrT2_20_qrT1_12_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_8fc7dbc0-dce7-4563-af93-b7dfbffb6d30.csv",17,7,12,20,12,12,10,4,4,14,"10%,30%,40%,50%",0:14:17.496066,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
438,"nS_17_cS_7_qrN_6_qrT2_8_qrT1_4_qrO_12_boN_10_boT2_4_boT1_4_boOr_14_simT_10%,30%,40%,50%_0c3e83af-9d23-4692-8ae6-25353d0a66e6.csv",17,7,6,8,4,12,10,4,4,14,"10%,30%,40%,50%",0:03:58.169758,0.4995278396941224,0.6606224574222636,0.3384332219659812,0.9022643840144754,0.09679129537376936
