file1,start1,end1,method1,file2_x,start2_x,end2_x,method2,file2_y,start2_y,end2_y,classification,notes
6926848_0.java,1,18,method,eclipse_SDK/eclipse_SDK-4.3/src/src/org/apache/http/client/utils/URLEncodedUtils.java,73,90,parse,eclipse_SDK/eclipse_SDK-4.3/src/src/org/apache/http/client/utils/URLEncodedUtils.java,73,90,EX,author of answer copied code form apache
23782959_0.java,1,23,method,Compiere_330_Source/release_330/base/src/org/compiere/process/RegisterSystem.java,22,118,doIt,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/help/internal/base/remote/HttpsUtility.java,81,100,UD,commonly reused snippet to make https connection ignoring certificates
3788516_0.java,1,12,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,QS,author of answer copies and paste a snippet of code from the hibernate documentation that is both online and in the project sorce code as a .java
18970685_0.java,1,10,method,lucene-4.3.0/lucene-4.3.0/core/src/java/org/apache/lucene/store/FSDirectory.java,35,44,open,lucene-4.3.0/FSDirectory.java,35,44,QS,SO copies from lucene to assist reply.
18970685_0.java,1,10,method,lucene-4.3.0/lucene-4.3.0/core/src/java/org/apache/lucene/store/FSDirectory.java,35,44,open,eclipse_SDK/FSDirectory.java,36,45,EX,SO copies from FSDirectory.open(File) in lucene to assist reply. eclipse copies lucene to its code base
18970685_0.java,1,10,method,eclipse_SDK/eclipse_SDK-4.3/src/src/org/apache/lucene/store/FSDirectory.java,36,45,open,lucene-4.3.0/FSDirectory.java,35,44,QS,SO copies from lucene to assist reply.
18970685_0.java,1,10,method,eclipse_SDK/eclipse_SDK-4.3/src/src/org/apache/lucene/store/FSDirectory.java,36,45,open,eclipse_SDK/FSDirectory.java,36,45,EX,SO copies from FSDirectory.open(File) in lucene to assist reply. eclipse copies lucene to its code base
2398335_0.java,1,16,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/using_scroll.java,1,16,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/using_scroll.java,1,16,QS,SO copies code from hibernate to assist reply
20458485_0.java,1,12,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,QS,SO posts code from hibernate to assist in reply
12106623_0.java,1,16,method,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/WriterAppender.java,45,61,checkEntryConditions,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/WriterAppender.java,45,61,QS,author copied code from log4j to answer the question
2870786_0.java,1,11,method,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/tomcat/util/http/fileupload/IOUtils.java,25,35,copyLarge,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/tomcat/util/http/fileupload/IOUtils.java,25,35,EX,SO posts code from apache commons io. apache commons io is copied to tomcat code base
2870786_0.java,1,11,method,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/tomcat/util/http/fileupload/IOUtils.java,25,35,copyLarge,struts2-2.2.1-all/struts-2.2.1/src/xwork-core/src/main/java/com/opensymphony/xwork2/util/classloader/JarResourceStore.java,33,43,EX,SO posts code from apache commons io. apache commons io is copied to spring code base
